siDo,guGun,totalCount
11,110,1
11,170,1
11,200,1
11,215,1
11,230,1
11,260,1
11,290,1
11,305,1
11,320,1
11,350,1
11,380,1
26,110,1
26,230,1
26,260,1
26,350,1
26,380,1
27,110,1
27,140,1
27,170,1
27,200,1
27,230,1
27,260,1
27,290,1
28,200,1
28,237,1
28,260,1
29,170,1
29,200,1
30,110,1
30,140,1
30,170,1
30,200,1
30,230,1
31,110,1
31,140,1
31,200,1
41,111,1
41,113,1
41,115,1
41,117,1
41,131,1
41,133,1
41,135,1
41,150,1
41,173,1
41,190,1
41,220,1
41,250,1
41,271,1
41,273,1
41,281,1
41,285,1
41,287,1
41,310,1
41,360,1
41,370,1
41,390,1
42,110,1
43,111,1
43,112,1
43,113,1
43,130,1
44,133,1
45,113,1
45,130,1
45,140,1
46,110,1
46,150,1
46,170,1
47,111,1
47,113,1
47,130,1
47,190,1
47,250,1
47,280,1
47,290,1
48,129,1
48,220,1
48,270,1
48,310,1
48,330,1
50,110,1
